"init_date","conclusion_date","product_id","value"
"2000-01-01T23:00:00.505Z","2000-01-02T12:00:00.000Z","1","1.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.545Z","12","2.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.205Z","15","3.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.105Z","15","4.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.705Z","42","5.0"
"2000-01-01T11:00:00.505Z","2000-01-01T11:00:00.205Z","42","6.0"
"2000-01-01T15:00:00.505Z","2000-01-01T15:00:00.105Z","11","7.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.305Z","11","8.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","42","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","42","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","42","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
"2000-01-01T22:00:00.000Z","2000-01-01T22:00:00.000Z","15","432.0"
"2000-01-01T23:00:00.505Z","2000-01-01T23:00:00.505Z","15","432.0"
"2000-01-01T12:00:00.505Z","2000-01-01T12:00:00.505Z","11","50.0"
